Pattern         		
IR_J-216_10     	ND_J-216_10     	Meter_J-216_10     
IR_J-216_30     	ND_J-216_30     	Meter_J-216_30     
IR_J-216_50     	ND_J-216_50     	Meter_J-216_50     
IR_J-216_70     	ND_J-216_70     	Meter_J-216_70     
IR_J-216_90     	ND_J-216_90     	Meter_J-216_90     
IR_J-216_110    	ND_J-216_110    	Meter_J-216_110    
IR_J-216_130    	ND_J-216_130    	Meter_J-216_130    
IR_J-216_150    	ND_J-216_150    	Meter_J-216_150    
IR_J-216_170    	ND_J-216_170    	Meter_J-216_170    
IR_J-216_190    	ND_J-216_190    	Meter_J-216_190    
IR_J-216_210    	ND_J-216_210    	Meter_J-216_210    
IR_J-216_230    	ND_J-216_230    	Meter_J-216_230    
IR_J-216_250    	ND_J-216_250    	Meter_J-216_250    
IR_J-216_270    	ND_J-216_270    	Meter_J-216_270    
IR_J-216_290    	ND_J-216_290    	Meter_J-216_290    
IR_J-216_310    	ND_J-216_310    	Meter_J-216_310    
IR_J-216_330    	ND_J-216_330    	Meter_J-216_330    
IR_J-216_350    	ND_J-216_350    	Meter_J-216_350    
IR_J-259_10     	ND_J-259_10     	Meter_J-259_10     
IR_J-259_30     	ND_J-259_30     	Meter_J-259_30     
IR_J-259_50     	ND_J-259_50     	Meter_J-259_50     
IR_J-259_70     	ND_J-259_70     	Meter_J-259_70     
IR_J-259_90     	ND_J-259_90     	Meter_J-259_90     
IR_J-259_110    	ND_J-259_110    	Meter_J-259_110    
IR_J-259_130    	ND_J-259_130    	Meter_J-259_130    
IR_J-259_150    	ND_J-259_150    	Meter_J-259_150    
IR_J-259_170    	ND_J-259_170    	Meter_J-259_170    
IR_J-259_190    	ND_J-259_190    	Meter_J-259_190    
IR_J-259_210    	ND_J-259_210    	Meter_J-259_210    
IR_J-259_230    	ND_J-259_230    	Meter_J-259_230    
IR_J-259_250    	ND_J-259_250    	Meter_J-259_250    
IR_J-259_270    	ND_J-259_270    	Meter_J-259_270    
IR_J-259_290    	ND_J-259_290    	Meter_J-259_290    
IR_J-259_310    	ND_J-259_310    	Meter_J-259_310    
IR_J-259_330    	ND_J-259_330    	Meter_J-259_330    
IR_J-259_350    	ND_J-259_350    	Meter_J-259_350    
IR_J-231_10     	ND_J-231_10     	Meter_J-231_10     
IR_J-231_30     	ND_J-231_30     	Meter_J-231_30     
IR_J-231_50     	ND_J-231_50     	Meter_J-231_50     
IR_J-231_70     	ND_J-231_70     	Meter_J-231_70     
IR_J-231_90     	ND_J-231_90     	Meter_J-231_90     
IR_J-231_110    	ND_J-231_110    	Meter_J-231_110    
IR_J-231_130    	ND_J-231_130    	Meter_J-231_130    
IR_J-231_150    	ND_J-231_150    	Meter_J-231_150    
IR_J-231_170    	ND_J-231_170    	Meter_J-231_170    
IR_J-231_190    	ND_J-231_190    	Meter_J-231_190    
IR_J-231_210    	ND_J-231_210    	Meter_J-231_210    
IR_J-231_230    	ND_J-231_230    	Meter_J-231_230    
IR_J-231_250    	ND_J-231_250    	Meter_J-231_250    
IR_J-231_270    	ND_J-231_270    	Meter_J-231_270    
IR_J-231_290    	ND_J-231_290    	Meter_J-231_290    
IR_J-231_310    	ND_J-231_310    	Meter_J-231_310    
IR_J-231_330    	ND_J-231_330    	Meter_J-231_330    
IR_J-231_350    	ND_J-231_350    	Meter_J-231_350    
IR_J-238_10     	ND_J-238_10     	Meter_J-238_10     
IR_J-238_30     	ND_J-238_30     	Meter_J-238_30     
IR_J-238_50     	ND_J-238_50     	Meter_J-238_50     
IR_J-238_70     	ND_J-238_70     	Meter_J-238_70     
IR_J-238_90     	ND_J-238_90     	Meter_J-238_90     
IR_J-238_110    	ND_J-238_110    	Meter_J-238_110    
IR_J-238_130    	ND_J-238_130    	Meter_J-238_130    
IR_J-238_150    	ND_J-238_150    	Meter_J-238_150    
IR_J-238_170    	ND_J-238_170    	Meter_J-238_170    
IR_J-238_190    	ND_J-238_190    	Meter_J-238_190    
IR_J-238_210    	ND_J-238_210    	Meter_J-238_210    
IR_J-238_230    	ND_J-238_230    	Meter_J-238_230    
IR_J-238_250    	ND_J-238_250    	Meter_J-238_250    
IR_J-238_270    	ND_J-238_270    	Meter_J-238_270    
IR_J-238_290    	ND_J-238_290    	Meter_J-238_290    
IR_J-238_310    	ND_J-238_310    	Meter_J-238_310    
IR_J-238_330    	ND_J-238_330    	Meter_J-238_330    
IR_J-238_350    	ND_J-238_350    	Meter_J-238_350    
IR_J-268_10     	ND_J-268_10     	Meter_J-268_10     
IR_J-268_30     	ND_J-268_30     	Meter_J-268_30     
IR_J-268_50     	ND_J-268_50     	Meter_J-268_50     
IR_J-268_70     	ND_J-268_70     	Meter_J-268_70     
IR_J-268_90     	ND_J-268_90     	Meter_J-268_90     
IR_J-268_110    	ND_J-268_110    	Meter_J-268_110    
IR_J-268_130    	ND_J-268_130    	Meter_J-268_130    
IR_J-268_150    	ND_J-268_150    	Meter_J-268_150    
IR_J-268_170    	ND_J-268_170    	Meter_J-268_170    
IR_J-268_190    	ND_J-268_190    	Meter_J-268_190    
IR_J-268_210    	ND_J-268_210    	Meter_J-268_210    
IR_J-268_230    	ND_J-268_230    	Meter_J-268_230    
IR_J-268_250    	ND_J-268_250    	Meter_J-268_250    
IR_J-268_270    	ND_J-268_270    	Meter_J-268_270    
IR_J-268_290    	ND_J-268_290    	Meter_J-268_290    
IR_J-268_310    	ND_J-268_310    	Meter_J-268_310    
IR_J-268_330    	ND_J-268_330    	Meter_J-268_330    
IR_J-268_350    	ND_J-268_350    	Meter_J-268_350    
IR_J-283_10     	ND_J-283_10     	Meter_J-283_10     
IR_J-283_30     	ND_J-283_30     	Meter_J-283_30     
IR_J-283_50     	ND_J-283_50     	Meter_J-283_50     
IR_J-283_70     	ND_J-283_70     	Meter_J-283_70     
IR_J-283_90     	ND_J-283_90     	Meter_J-283_90     
IR_J-283_110    	ND_J-283_110    	Meter_J-283_110    
IR_J-283_130    	ND_J-283_130    	Meter_J-283_130    
IR_J-283_150    	ND_J-283_150    	Meter_J-283_150    
IR_J-283_170    	ND_J-283_170    	Meter_J-283_170    
IR_J-283_190    	ND_J-283_190    	Meter_J-283_190    
IR_J-283_210    	ND_J-283_210    	Meter_J-283_210    
IR_J-283_230    	ND_J-283_230    	Meter_J-283_230    
IR_J-283_250    	ND_J-283_250    	Meter_J-283_250    
IR_J-283_270    	ND_J-283_270    	Meter_J-283_270    
IR_J-283_290    	ND_J-283_290    	Meter_J-283_290    
IR_J-283_310    	ND_J-283_310    	Meter_J-283_310    
IR_J-283_330    	ND_J-283_330    	Meter_J-283_330    
IR_J-283_350    	ND_J-283_350    	Meter_J-283_350    
IR_J-236_10     	ND_J-236_10     	Meter_J-236_10     
IR_J-236_30     	ND_J-236_30     	Meter_J-236_30     
IR_J-236_50     	ND_J-236_50     	Meter_J-236_50     
IR_J-236_70     	ND_J-236_70     	Meter_J-236_70     
IR_J-236_90     	ND_J-236_90     	Meter_J-236_90     
IR_J-236_110    	ND_J-236_110    	Meter_J-236_110    
IR_J-236_130    	ND_J-236_130    	Meter_J-236_130    
IR_J-236_150    	ND_J-236_150    	Meter_J-236_150    
IR_J-236_170    	ND_J-236_170    	Meter_J-236_170    
IR_J-236_190    	ND_J-236_190    	Meter_J-236_190    
IR_J-236_210    	ND_J-236_210    	Meter_J-236_210    
IR_J-236_230    	ND_J-236_230    	Meter_J-236_230    
IR_J-236_250    	ND_J-236_250    	Meter_J-236_250    
IR_J-236_270    	ND_J-236_270    	Meter_J-236_270    
IR_J-236_290    	ND_J-236_290    	Meter_J-236_290    
IR_J-236_310    	ND_J-236_310    	Meter_J-236_310    
IR_J-236_330    	ND_J-236_330    	Meter_J-236_330    
IR_J-236_350    	ND_J-236_350    	Meter_J-236_350    
IR_J-281_IR1_10 	ND_J-281_IR1_10 	Meter_J-281_IR1_10 
IR_J-281_IR1_30 	ND_J-281_IR1_30 	Meter_J-281_IR1_30 
IR_J-281_IR1_50 	ND_J-281_IR1_50 	Meter_J-281_IR1_50 
IR_J-281_IR1_70 	ND_J-281_IR1_70 	Meter_J-281_IR1_70 
IR_J-281_IR1_90 	ND_J-281_IR1_90 	Meter_J-281_IR1_90 
IR_J-281_IR1_110	ND_J-281_IR1_110	Meter_J-281_IR1_110
IR_J-281_IR1_130	ND_J-281_IR1_130	Meter_J-281_IR1_130
IR_J-281_IR1_150	ND_J-281_IR1_150	Meter_J-281_IR1_150
IR_J-281_IR1_170	ND_J-281_IR1_170	Meter_J-281_IR1_170
IR_J-281_IR1_190	ND_J-281_IR1_190	Meter_J-281_IR1_190
IR_J-281_IR1_210	ND_J-281_IR1_210	Meter_J-281_IR1_210
IR_J-281_IR1_230	ND_J-281_IR1_230	Meter_J-281_IR1_230
IR_J-281_IR1_250	ND_J-281_IR1_250	Meter_J-281_IR1_250
IR_J-281_IR1_270	ND_J-281_IR1_270	Meter_J-281_IR1_270
IR_J-281_IR1_290	ND_J-281_IR1_290	Meter_J-281_IR1_290
IR_J-281_IR1_310	ND_J-281_IR1_310	Meter_J-281_IR1_310
IR_J-281_IR1_330	ND_J-281_IR1_330	Meter_J-281_IR1_330
IR_J-281_IR1_350	ND_J-281_IR1_350	Meter_J-281_IR1_350
IR_J-139_IR1_10 	ND_J-139_IR1_10 	Meter_J-139_IR1_10 
IR_J-139_IR1_30 	ND_J-139_IR1_30 	Meter_J-139_IR1_30 
IR_J-139_IR1_50 	ND_J-139_IR1_50 	Meter_J-139_IR1_50 
IR_J-139_IR1_70 	ND_J-139_IR1_70 	Meter_J-139_IR1_70 
IR_J-139_IR1_90 	ND_J-139_IR1_90 	Meter_J-139_IR1_90 
IR_J-139_IR1_110	ND_J-139_IR1_110	Meter_J-139_IR1_110
IR_J-139_IR1_130	ND_J-139_IR1_130	Meter_J-139_IR1_130
IR_J-139_IR1_150	ND_J-139_IR1_150	Meter_J-139_IR1_150
IR_J-139_IR1_170	ND_J-139_IR1_170	Meter_J-139_IR1_170
IR_J-139_IR1_190	ND_J-139_IR1_190	Meter_J-139_IR1_190
IR_J-139_IR1_210	ND_J-139_IR1_210	Meter_J-139_IR1_210
IR_J-139_IR1_230	ND_J-139_IR1_230	Meter_J-139_IR1_230
IR_J-139_IR1_250	ND_J-139_IR1_250	Meter_J-139_IR1_250
IR_J-139_IR1_270	ND_J-139_IR1_270	Meter_J-139_IR1_270
IR_J-139_IR1_290	ND_J-139_IR1_290	Meter_J-139_IR1_290
IR_J-139_IR1_310	ND_J-139_IR1_310	Meter_J-139_IR1_310
IR_J-139_IR1_330	ND_J-139_IR1_330	Meter_J-139_IR1_330
IR_J-139_IR1_350	ND_J-139_IR1_350	Meter_J-139_IR1_350
IR_J-165_IR1_10 	ND_J-165_IR1_10 	Meter_J-165_IR1_10 
IR_J-165_IR1_30 	ND_J-165_IR1_30 	Meter_J-165_IR1_30 
IR_J-165_IR1_50 	ND_J-165_IR1_50 	Meter_J-165_IR1_50 
IR_J-165_IR1_70 	ND_J-165_IR1_70 	Meter_J-165_IR1_70 
IR_J-165_IR1_90 	ND_J-165_IR1_90 	Meter_J-165_IR1_90 
IR_J-165_IR1_110	ND_J-165_IR1_110	Meter_J-165_IR1_110
IR_J-165_IR1_130	ND_J-165_IR1_130	Meter_J-165_IR1_130
IR_J-165_IR1_150	ND_J-165_IR1_150	Meter_J-165_IR1_150
IR_J-165_IR1_170	ND_J-165_IR1_170	Meter_J-165_IR1_170
IR_J-165_IR1_190	ND_J-165_IR1_190	Meter_J-165_IR1_190
IR_J-165_IR1_210	ND_J-165_IR1_210	Meter_J-165_IR1_210
IR_J-165_IR1_230	ND_J-165_IR1_230	Meter_J-165_IR1_230
IR_J-165_IR1_250	ND_J-165_IR1_250	Meter_J-165_IR1_250
IR_J-165_IR1_270	ND_J-165_IR1_270	Meter_J-165_IR1_270
IR_J-165_IR1_290	ND_J-165_IR1_290	Meter_J-165_IR1_290
IR_J-165_IR1_310	ND_J-165_IR1_310	Meter_J-165_IR1_310
IR_J-165_IR1_330	ND_J-165_IR1_330	Meter_J-165_IR1_330
IR_J-165_IR1_350	ND_J-165_IR1_350	Meter_J-165_IR1_350
IR_J-149_IR1_10 	ND_J-149_IR1_10 	Meter_J-149_IR1_10 
IR_J-149_IR1_30 	ND_J-149_IR1_30 	Meter_J-149_IR1_30 
IR_J-149_IR1_50 	ND_J-149_IR1_50 	Meter_J-149_IR1_50 
IR_J-149_IR1_70 	ND_J-149_IR1_70 	Meter_J-149_IR1_70 
IR_J-149_IR1_90 	ND_J-149_IR1_90 	Meter_J-149_IR1_90 
IR_J-149_IR1_110	ND_J-149_IR1_110	Meter_J-149_IR1_110
IR_J-149_IR1_130	ND_J-149_IR1_130	Meter_J-149_IR1_130
IR_J-149_IR1_150	ND_J-149_IR1_150	Meter_J-149_IR1_150
IR_J-149_IR1_170	ND_J-149_IR1_170	Meter_J-149_IR1_170
IR_J-149_IR1_190	ND_J-149_IR1_190	Meter_J-149_IR1_190
IR_J-149_IR1_210	ND_J-149_IR1_210	Meter_J-149_IR1_210
IR_J-149_IR1_230	ND_J-149_IR1_230	Meter_J-149_IR1_230
IR_J-149_IR1_250	ND_J-149_IR1_250	Meter_J-149_IR1_250
IR_J-149_IR1_270	ND_J-149_IR1_270	Meter_J-149_IR1_270
IR_J-149_IR1_290	ND_J-149_IR1_290	Meter_J-149_IR1_290
IR_J-149_IR1_310	ND_J-149_IR1_310	Meter_J-149_IR1_310
IR_J-149_IR1_330	ND_J-149_IR1_330	Meter_J-149_IR1_330
IR_J-149_IR1_350	ND_J-149_IR1_350	Meter_J-149_IR1_350
IR_J-137_IR1_10 	ND_J-137_IR1_10 	Meter_J-137_IR1_10 
IR_J-137_IR1_30 	ND_J-137_IR1_30 	Meter_J-137_IR1_30 
IR_J-137_IR1_50 	ND_J-137_IR1_50 	Meter_J-137_IR1_50 
IR_J-137_IR1_70 	ND_J-137_IR1_70 	Meter_J-137_IR1_70 
IR_J-137_IR1_90 	ND_J-137_IR1_90 	Meter_J-137_IR1_90 
IR_J-137_IR1_110	ND_J-137_IR1_110	Meter_J-137_IR1_110
IR_J-137_IR1_130	ND_J-137_IR1_130	Meter_J-137_IR1_130
IR_J-137_IR1_150	ND_J-137_IR1_150	Meter_J-137_IR1_150
IR_J-137_IR1_170	ND_J-137_IR1_170	Meter_J-137_IR1_170
IR_J-137_IR1_190	ND_J-137_IR1_190	Meter_J-137_IR1_190
IR_J-137_IR1_210	ND_J-137_IR1_210	Meter_J-137_IR1_210
IR_J-137_IR1_230	ND_J-137_IR1_230	Meter_J-137_IR1_230
IR_J-137_IR1_250	ND_J-137_IR1_250	Meter_J-137_IR1_250
IR_J-137_IR1_270	ND_J-137_IR1_270	Meter_J-137_IR1_270
IR_J-137_IR1_290	ND_J-137_IR1_290	Meter_J-137_IR1_290
IR_J-137_IR1_310	ND_J-137_IR1_310	Meter_J-137_IR1_310
IR_J-137_IR1_330	ND_J-137_IR1_330	Meter_J-137_IR1_330
IR_J-137_IR1_350	ND_J-137_IR1_350	Meter_J-137_IR1_350
IR_J-108_IR1_10 	ND_J-108_IR1_10 	Meter_J-108_IR1_10 
IR_J-108_IR1_30 	ND_J-108_IR1_30 	Meter_J-108_IR1_30 
IR_J-108_IR1_50 	ND_J-108_IR1_50 	Meter_J-108_IR1_50 
IR_J-108_IR1_70 	ND_J-108_IR1_70 	Meter_J-108_IR1_70 
IR_J-108_IR1_90 	ND_J-108_IR1_90 	Meter_J-108_IR1_90 
IR_J-108_IR1_110	ND_J-108_IR1_110	Meter_J-108_IR1_110
IR_J-108_IR1_130	ND_J-108_IR1_130	Meter_J-108_IR1_130
IR_J-108_IR1_150	ND_J-108_IR1_150	Meter_J-108_IR1_150
IR_J-108_IR1_170	ND_J-108_IR1_170	Meter_J-108_IR1_170
IR_J-108_IR1_190	ND_J-108_IR1_190	Meter_J-108_IR1_190
IR_J-108_IR1_210	ND_J-108_IR1_210	Meter_J-108_IR1_210
IR_J-108_IR1_230	ND_J-108_IR1_230	Meter_J-108_IR1_230
IR_J-108_IR1_250	ND_J-108_IR1_250	Meter_J-108_IR1_250
IR_J-108_IR1_270	ND_J-108_IR1_270	Meter_J-108_IR1_270
IR_J-108_IR1_290	ND_J-108_IR1_290	Meter_J-108_IR1_290
IR_J-108_IR1_310	ND_J-108_IR1_310	Meter_J-108_IR1_310
IR_J-108_IR1_330	ND_J-108_IR1_330	Meter_J-108_IR1_330
IR_J-108_IR1_350	ND_J-108_IR1_350	Meter_J-108_IR1_350
IR_J-223_IR1_10 	ND_J-223_IR1_10 	Meter_J-223_IR1_10 
IR_J-223_IR1_30 	ND_J-223_IR1_30 	Meter_J-223_IR1_30 
IR_J-223_IR1_50 	ND_J-223_IR1_50 	Meter_J-223_IR1_50 
IR_J-223_IR1_70 	ND_J-223_IR1_70 	Meter_J-223_IR1_70 
IR_J-223_IR1_90 	ND_J-223_IR1_90 	Meter_J-223_IR1_90 
IR_J-223_IR1_110	ND_J-223_IR1_110	Meter_J-223_IR1_110
IR_J-223_IR1_130	ND_J-223_IR1_130	Meter_J-223_IR1_130
IR_J-223_IR1_150	ND_J-223_IR1_150	Meter_J-223_IR1_150
IR_J-223_IR1_170	ND_J-223_IR1_170	Meter_J-223_IR1_170
IR_J-223_IR1_190	ND_J-223_IR1_190	Meter_J-223_IR1_190
IR_J-223_IR1_210	ND_J-223_IR1_210	Meter_J-223_IR1_210
IR_J-223_IR1_230	ND_J-223_IR1_230	Meter_J-223_IR1_230
IR_J-223_IR1_250	ND_J-223_IR1_250	Meter_J-223_IR1_250
IR_J-223_IR1_270	ND_J-223_IR1_270	Meter_J-223_IR1_270
IR_J-223_IR1_290	ND_J-223_IR1_290	Meter_J-223_IR1_290
IR_J-223_IR1_310	ND_J-223_IR1_310	Meter_J-223_IR1_310
IR_J-223_IR1_330	ND_J-223_IR1_330	Meter_J-223_IR1_330
IR_J-223_IR1_350	ND_J-223_IR1_350	Meter_J-223_IR1_350
IR_J-81_IR1_10  	ND_J-81_IR1_10  	Meter_J-81_IR1_10  
IR_J-81_IR1_30  	ND_J-81_IR1_30  	Meter_J-81_IR1_30  
IR_J-81_IR1_50  	ND_J-81_IR1_50  	Meter_J-81_IR1_50  
IR_J-81_IR1_70  	ND_J-81_IR1_70  	Meter_J-81_IR1_70  
IR_J-81_IR1_90  	ND_J-81_IR1_90  	Meter_J-81_IR1_90  
IR_J-81_IR1_110 	ND_J-81_IR1_110 	Meter_J-81_IR1_110 
IR_J-81_IR1_130 	ND_J-81_IR1_130 	Meter_J-81_IR1_130 
IR_J-81_IR1_150 	ND_J-81_IR1_150 	Meter_J-81_IR1_150 
IR_J-81_IR1_170 	ND_J-81_IR1_170 	Meter_J-81_IR1_170 
IR_J-81_IR1_190 	ND_J-81_IR1_190 	Meter_J-81_IR1_190 
IR_J-81_IR1_210 	ND_J-81_IR1_210 	Meter_J-81_IR1_210 
IR_J-81_IR1_230 	ND_J-81_IR1_230 	Meter_J-81_IR1_230 
IR_J-81_IR1_250 	ND_J-81_IR1_250 	Meter_J-81_IR1_250 
IR_J-81_IR1_270 	ND_J-81_IR1_270 	Meter_J-81_IR1_270 
IR_J-81_IR1_290 	ND_J-81_IR1_290 	Meter_J-81_IR1_290 
IR_J-81_IR1_310 	ND_J-81_IR1_310 	Meter_J-81_IR1_310 
IR_J-81_IR1_330 	ND_J-81_IR1_330 	Meter_J-81_IR1_330 
IR_J-81_IR1_350 	ND_J-81_IR1_350 	Meter_J-81_IR1_350 
IR_J-200_IR1_10 	ND_J-200_IR1_10 	Meter_J-200_IR1_10 
IR_J-200_IR1_30 	ND_J-200_IR1_30 	Meter_J-200_IR1_30 
IR_J-200_IR1_50 	ND_J-200_IR1_50 	Meter_J-200_IR1_50 
IR_J-200_IR1_70 	ND_J-200_IR1_70 	Meter_J-200_IR1_70 
IR_J-200_IR1_90 	ND_J-200_IR1_90 	Meter_J-200_IR1_90 
IR_J-200_IR1_110	ND_J-200_IR1_110	Meter_J-200_IR1_110
IR_J-200_IR1_130	ND_J-200_IR1_130	Meter_J-200_IR1_130
IR_J-200_IR1_150	ND_J-200_IR1_150	Meter_J-200_IR1_150
IR_J-200_IR1_170	ND_J-200_IR1_170	Meter_J-200_IR1_170
IR_J-200_IR1_190	ND_J-200_IR1_190	Meter_J-200_IR1_190
IR_J-200_IR1_210	ND_J-200_IR1_210	Meter_J-200_IR1_210
IR_J-200_IR1_230	ND_J-200_IR1_230	Meter_J-200_IR1_230
IR_J-200_IR1_250	ND_J-200_IR1_250	Meter_J-200_IR1_250
IR_J-200_IR1_270	ND_J-200_IR1_270	Meter_J-200_IR1_270
IR_J-200_IR1_290	ND_J-200_IR1_290	Meter_J-200_IR1_290
IR_J-200_IR1_310	ND_J-200_IR1_310	Meter_J-200_IR1_310
IR_J-200_IR1_330	ND_J-200_IR1_330	Meter_J-200_IR1_330
IR_J-200_IR1_350	ND_J-200_IR1_350	Meter_J-200_IR1_350
IR_J-109_IR1_10 	ND_J-109_IR1_10 	Meter_J-109_IR1_10 
IR_J-109_IR1_30 	ND_J-109_IR1_30 	Meter_J-109_IR1_30 
IR_J-109_IR1_50 	ND_J-109_IR1_50 	Meter_J-109_IR1_50 
IR_J-109_IR1_70 	ND_J-109_IR1_70 	Meter_J-109_IR1_70 
IR_J-109_IR1_90 	ND_J-109_IR1_90 	Meter_J-109_IR1_90 
IR_J-109_IR1_110	ND_J-109_IR1_110	Meter_J-109_IR1_110
IR_J-109_IR1_130	ND_J-109_IR1_130	Meter_J-109_IR1_130
IR_J-109_IR1_150	ND_J-109_IR1_150	Meter_J-109_IR1_150
IR_J-109_IR1_170	ND_J-109_IR1_170	Meter_J-109_IR1_170
IR_J-109_IR1_190	ND_J-109_IR1_190	Meter_J-109_IR1_190
IR_J-109_IR1_210	ND_J-109_IR1_210	Meter_J-109_IR1_210
IR_J-109_IR1_230	ND_J-109_IR1_230	Meter_J-109_IR1_230
IR_J-109_IR1_250	ND_J-109_IR1_250	Meter_J-109_IR1_250
IR_J-109_IR1_270	ND_J-109_IR1_270	Meter_J-109_IR1_270
IR_J-109_IR1_290	ND_J-109_IR1_290	Meter_J-109_IR1_290
IR_J-109_IR1_310	ND_J-109_IR1_310	Meter_J-109_IR1_310
IR_J-109_IR1_330	ND_J-109_IR1_330	Meter_J-109_IR1_330
IR_J-109_IR1_350	ND_J-109_IR1_350	Meter_J-109_IR1_350
IR_J-95_IR1_10  	ND_J-95_IR1_10  	Meter_J-95_IR1_10  
IR_J-95_IR1_30  	ND_J-95_IR1_30  	Meter_J-95_IR1_30  
IR_J-95_IR1_50  	ND_J-95_IR1_50  	Meter_J-95_IR1_50  
IR_J-95_IR1_70  	ND_J-95_IR1_70  	Meter_J-95_IR1_70  
IR_J-95_IR1_90  	ND_J-95_IR1_90  	Meter_J-95_IR1_90  
IR_J-95_IR1_110 	ND_J-95_IR1_110 	Meter_J-95_IR1_110 
IR_J-95_IR1_130 	ND_J-95_IR1_130 	Meter_J-95_IR1_130 
IR_J-95_IR1_150 	ND_J-95_IR1_150 	Meter_J-95_IR1_150 
IR_J-95_IR1_170 	ND_J-95_IR1_170 	Meter_J-95_IR1_170 
IR_J-95_IR1_190 	ND_J-95_IR1_190 	Meter_J-95_IR1_190 
IR_J-95_IR1_210 	ND_J-95_IR1_210 	Meter_J-95_IR1_210 
IR_J-95_IR1_230 	ND_J-95_IR1_230 	Meter_J-95_IR1_230 
IR_J-95_IR1_250 	ND_J-95_IR1_250 	Meter_J-95_IR1_250 
IR_J-95_IR1_270 	ND_J-95_IR1_270 	Meter_J-95_IR1_270 
IR_J-95_IR1_290 	ND_J-95_IR1_290 	Meter_J-95_IR1_290 
IR_J-95_IR1_310 	ND_J-95_IR1_310 	Meter_J-95_IR1_310 
IR_J-95_IR1_330 	ND_J-95_IR1_330 	Meter_J-95_IR1_330 
IR_J-95_IR1_350 	ND_J-95_IR1_350 	Meter_J-95_IR1_350 
IR_J-249_IR1_10 	ND_J-249_IR1_10 	Meter_J-249_IR1_10 
IR_J-249_IR1_30 	ND_J-249_IR1_30 	Meter_J-249_IR1_30 
IR_J-249_IR1_50 	ND_J-249_IR1_50 	Meter_J-249_IR1_50 
IR_J-249_IR1_70 	ND_J-249_IR1_70 	Meter_J-249_IR1_70 
IR_J-249_IR1_90 	ND_J-249_IR1_90 	Meter_J-249_IR1_90 
IR_J-249_IR1_110	ND_J-249_IR1_110	Meter_J-249_IR1_110
IR_J-249_IR1_130	ND_J-249_IR1_130	Meter_J-249_IR1_130
IR_J-249_IR1_150	ND_J-249_IR1_150	Meter_J-249_IR1_150
IR_J-249_IR1_170	ND_J-249_IR1_170	Meter_J-249_IR1_170
IR_J-249_IR1_190	ND_J-249_IR1_190	Meter_J-249_IR1_190
IR_J-249_IR1_210	ND_J-249_IR1_210	Meter_J-249_IR1_210
IR_J-249_IR1_230	ND_J-249_IR1_230	Meter_J-249_IR1_230
IR_J-249_IR1_250	ND_J-249_IR1_250	Meter_J-249_IR1_250
IR_J-249_IR1_270	ND_J-249_IR1_270	Meter_J-249_IR1_270
IR_J-249_IR1_290	ND_J-249_IR1_290	Meter_J-249_IR1_290
IR_J-249_IR1_310	ND_J-249_IR1_310	Meter_J-249_IR1_310
IR_J-249_IR1_330	ND_J-249_IR1_330	Meter_J-249_IR1_330
IR_J-249_IR1_350	ND_J-249_IR1_350	Meter_J-249_IR1_350
IR_J-57_IR1_10  	ND_J-57_IR1_10  	Meter_J-57_IR1_10  
IR_J-57_IR1_30  	ND_J-57_IR1_30  	Meter_J-57_IR1_30  
IR_J-57_IR1_50  	ND_J-57_IR1_50  	Meter_J-57_IR1_50  
IR_J-57_IR1_70  	ND_J-57_IR1_70  	Meter_J-57_IR1_70  
IR_J-57_IR1_90  	ND_J-57_IR1_90  	Meter_J-57_IR1_90  
IR_J-57_IR1_110 	ND_J-57_IR1_110 	Meter_J-57_IR1_110 
IR_J-57_IR1_130 	ND_J-57_IR1_130 	Meter_J-57_IR1_130 
IR_J-57_IR1_150 	ND_J-57_IR1_150 	Meter_J-57_IR1_150 
IR_J-57_IR1_170 	ND_J-57_IR1_170 	Meter_J-57_IR1_170 
IR_J-57_IR1_190 	ND_J-57_IR1_190 	Meter_J-57_IR1_190 
IR_J-57_IR1_210 	ND_J-57_IR1_210 	Meter_J-57_IR1_210 
IR_J-57_IR1_230 	ND_J-57_IR1_230 	Meter_J-57_IR1_230 
IR_J-57_IR1_250 	ND_J-57_IR1_250 	Meter_J-57_IR1_250 
IR_J-57_IR1_270 	ND_J-57_IR1_270 	Meter_J-57_IR1_270 
IR_J-57_IR1_290 	ND_J-57_IR1_290 	Meter_J-57_IR1_290 
IR_J-57_IR1_310 	ND_J-57_IR1_310 	Meter_J-57_IR1_310 
IR_J-57_IR1_330 	ND_J-57_IR1_330 	Meter_J-57_IR1_330 
IR_J-57_IR1_350 	ND_J-57_IR1_350 	Meter_J-57_IR1_350 
IR_J-52_IR1_10  	ND_J-52_IR1_10  	Meter_J-52_IR1_10  
IR_J-52_IR1_30  	ND_J-52_IR1_30  	Meter_J-52_IR1_30  
IR_J-52_IR1_50  	ND_J-52_IR1_50  	Meter_J-52_IR1_50  
IR_J-52_IR1_70  	ND_J-52_IR1_70  	Meter_J-52_IR1_70  
IR_J-52_IR1_90  	ND_J-52_IR1_90  	Meter_J-52_IR1_90  
IR_J-52_IR1_110 	ND_J-52_IR1_110 	Meter_J-52_IR1_110 
IR_J-52_IR1_130 	ND_J-52_IR1_130 	Meter_J-52_IR1_130 
IR_J-52_IR1_150 	ND_J-52_IR1_150 	Meter_J-52_IR1_150 
IR_J-52_IR1_170 	ND_J-52_IR1_170 	Meter_J-52_IR1_170 
