Pattern         		
IR_J-232_270    	ND_J-232_270    	Meter_J-232_270    
IR_J-232_290    	ND_J-232_290    	Meter_J-232_290    
IR_J-232_310    	ND_J-232_310    	Meter_J-232_310    
IR_J-232_330    	ND_J-232_330    	Meter_J-232_330    
IR_J-232_350    	ND_J-232_350    	Meter_J-232_350    
IR_J-221_10     	ND_J-221_10     	Meter_J-221_10     
IR_J-221_30     	ND_J-221_30     	Meter_J-221_30     
IR_J-221_50     	ND_J-221_50     	Meter_J-221_50     
IR_J-221_70     	ND_J-221_70     	Meter_J-221_70     
IR_J-221_90     	ND_J-221_90     	Meter_J-221_90     
IR_J-221_110    	ND_J-221_110    	Meter_J-221_110    
IR_J-221_130    	ND_J-221_130    	Meter_J-221_130    
IR_J-221_150    	ND_J-221_150    	Meter_J-221_150    
IR_J-221_170    	ND_J-221_170    	Meter_J-221_170    
IR_J-221_190    	ND_J-221_190    	Meter_J-221_190    
IR_J-221_210    	ND_J-221_210    	Meter_J-221_210    
IR_J-221_230    	ND_J-221_230    	Meter_J-221_230    
IR_J-221_250    	ND_J-221_250    	Meter_J-221_250    
IR_J-221_270    	ND_J-221_270    	Meter_J-221_270    
IR_J-221_290    	ND_J-221_290    	Meter_J-221_290    
IR_J-221_310    	ND_J-221_310    	Meter_J-221_310    
IR_J-221_330    	ND_J-221_330    	Meter_J-221_330    
IR_J-221_350    	ND_J-221_350    	Meter_J-221_350    
IR_J-253_10     	ND_J-253_10     	Meter_J-253_10     
IR_J-253_30     	ND_J-253_30     	Meter_J-253_30     
IR_J-253_50     	ND_J-253_50     	Meter_J-253_50     
IR_J-253_70     	ND_J-253_70     	Meter_J-253_70     
IR_J-253_90     	ND_J-253_90     	Meter_J-253_90     
IR_J-253_110    	ND_J-253_110    	Meter_J-253_110    
IR_J-253_130    	ND_J-253_130    	Meter_J-253_130    
IR_J-253_150    	ND_J-253_150    	Meter_J-253_150    
IR_J-253_170    	ND_J-253_170    	Meter_J-253_170    
IR_J-253_190    	ND_J-253_190    	Meter_J-253_190    
IR_J-253_210    	ND_J-253_210    	Meter_J-253_210    
IR_J-253_230    	ND_J-253_230    	Meter_J-253_230    
IR_J-253_250    	ND_J-253_250    	Meter_J-253_250    
IR_J-253_270    	ND_J-253_270    	Meter_J-253_270    
IR_J-253_290    	ND_J-253_290    	Meter_J-253_290    
IR_J-253_310    	ND_J-253_310    	Meter_J-253_310    
IR_J-253_330    	ND_J-253_330    	Meter_J-253_330    
IR_J-253_350    	ND_J-253_350    	Meter_J-253_350    
IR_J-265_10     	ND_J-265_10     	Meter_J-265_10     
IR_J-265_30     	ND_J-265_30     	Meter_J-265_30     
IR_J-265_50     	ND_J-265_50     	Meter_J-265_50     
IR_J-265_70     	ND_J-265_70     	Meter_J-265_70     
IR_J-265_90     	ND_J-265_90     	Meter_J-265_90     
IR_J-265_110    	ND_J-265_110    	Meter_J-265_110    
IR_J-265_130    	ND_J-265_130    	Meter_J-265_130    
IR_J-265_150    	ND_J-265_150    	Meter_J-265_150    
IR_J-265_170    	ND_J-265_170    	Meter_J-265_170    
IR_J-265_190    	ND_J-265_190    	Meter_J-265_190    
IR_J-265_210    	ND_J-265_210    	Meter_J-265_210    
IR_J-265_230    	ND_J-265_230    	Meter_J-265_230    
IR_J-265_250    	ND_J-265_250    	Meter_J-265_250    
IR_J-265_270    	ND_J-265_270    	Meter_J-265_270    
IR_J-265_290    	ND_J-265_290    	Meter_J-265_290    
IR_J-265_310    	ND_J-265_310    	Meter_J-265_310    
IR_J-265_330    	ND_J-265_330    	Meter_J-265_330    
IR_J-265_350    	ND_J-265_350    	Meter_J-265_350    
IR_J-246_10     	ND_J-246_10     	Meter_J-246_10     
IR_J-246_30     	ND_J-246_30     	Meter_J-246_30     
IR_J-246_50     	ND_J-246_50     	Meter_J-246_50     
IR_J-246_70     	ND_J-246_70     	Meter_J-246_70     
IR_J-246_90     	ND_J-246_90     	Meter_J-246_90     
IR_J-246_110    	ND_J-246_110    	Meter_J-246_110    
IR_J-246_130    	ND_J-246_130    	Meter_J-246_130    
IR_J-246_150    	ND_J-246_150    	Meter_J-246_150    
IR_J-246_170    	ND_J-246_170    	Meter_J-246_170    
IR_J-246_190    	ND_J-246_190    	Meter_J-246_190    
IR_J-246_210    	ND_J-246_210    	Meter_J-246_210    
IR_J-246_230    	ND_J-246_230    	Meter_J-246_230    
IR_J-246_250    	ND_J-246_250    	Meter_J-246_250    
IR_J-246_270    	ND_J-246_270    	Meter_J-246_270    
IR_J-246_290    	ND_J-246_290    	Meter_J-246_290    
IR_J-246_310    	ND_J-246_310    	Meter_J-246_310    
IR_J-246_330    	ND_J-246_330    	Meter_J-246_330    
IR_J-246_350    	ND_J-246_350    	Meter_J-246_350    
IR_J-277_10     	ND_J-277_10     	Meter_J-277_10     
IR_J-277_30     	ND_J-277_30     	Meter_J-277_30     
IR_J-277_50     	ND_J-277_50     	Meter_J-277_50     
IR_J-277_70     	ND_J-277_70     	Meter_J-277_70     
IR_J-277_90     	ND_J-277_90     	Meter_J-277_90     
IR_J-277_110    	ND_J-277_110    	Meter_J-277_110    
IR_J-277_130    	ND_J-277_130    	Meter_J-277_130    
IR_J-277_150    	ND_J-277_150    	Meter_J-277_150    
IR_J-277_170    	ND_J-277_170    	Meter_J-277_170    
IR_J-277_190    	ND_J-277_190    	Meter_J-277_190    
IR_J-277_210    	ND_J-277_210    	Meter_J-277_210    
IR_J-277_230    	ND_J-277_230    	Meter_J-277_230    
IR_J-277_250    	ND_J-277_250    	Meter_J-277_250    
IR_J-277_270    	ND_J-277_270    	Meter_J-277_270    
IR_J-277_290    	ND_J-277_290    	Meter_J-277_290    
IR_J-277_310    	ND_J-277_310    	Meter_J-277_310    
IR_J-277_330    	ND_J-277_330    	Meter_J-277_330    
IR_J-277_350    	ND_J-277_350    	Meter_J-277_350    
IR_J-201_10     	ND_J-201_10     	Meter_J-201_10     
IR_J-201_30     	ND_J-201_30     	Meter_J-201_30     
IR_J-201_50     	ND_J-201_50     	Meter_J-201_50     
IR_J-201_70     	ND_J-201_70     	Meter_J-201_70     
IR_J-201_90     	ND_J-201_90     	Meter_J-201_90     
IR_J-201_110    	ND_J-201_110    	Meter_J-201_110    
IR_J-201_130    	ND_J-201_130    	Meter_J-201_130    
IR_J-201_150    	ND_J-201_150    	Meter_J-201_150    
IR_J-201_170    	ND_J-201_170    	Meter_J-201_170    
IR_J-201_190    	ND_J-201_190    	Meter_J-201_190    
IR_J-201_210    	ND_J-201_210    	Meter_J-201_210    
IR_J-201_230    	ND_J-201_230    	Meter_J-201_230    
IR_J-201_250    	ND_J-201_250    	Meter_J-201_250    
IR_J-201_270    	ND_J-201_270    	Meter_J-201_270    
IR_J-201_290    	ND_J-201_290    	Meter_J-201_290    
IR_J-201_310    	ND_J-201_310    	Meter_J-201_310    
IR_J-201_330    	ND_J-201_330    	Meter_J-201_330    
IR_J-201_350    	ND_J-201_350    	Meter_J-201_350    
IR_J-193_10     	ND_J-193_10     	Meter_J-193_10     
IR_J-193_30     	ND_J-193_30     	Meter_J-193_30     
IR_J-193_50     	ND_J-193_50     	Meter_J-193_50     
IR_J-193_70     	ND_J-193_70     	Meter_J-193_70     
IR_J-193_90     	ND_J-193_90     	Meter_J-193_90     
IR_J-193_110    	ND_J-193_110    	Meter_J-193_110    
IR_J-193_130    	ND_J-193_130    	Meter_J-193_130    
IR_J-193_150    	ND_J-193_150    	Meter_J-193_150    
IR_J-193_170    	ND_J-193_170    	Meter_J-193_170    
IR_J-193_190    	ND_J-193_190    	Meter_J-193_190    
IR_J-193_210    	ND_J-193_210    	Meter_J-193_210    
IR_J-193_230    	ND_J-193_230    	Meter_J-193_230    
IR_J-193_250    	ND_J-193_250    	Meter_J-193_250    
IR_J-193_270    	ND_J-193_270    	Meter_J-193_270    
IR_J-193_290    	ND_J-193_290    	Meter_J-193_290    
IR_J-193_310    	ND_J-193_310    	Meter_J-193_310    
IR_J-193_330    	ND_J-193_330    	Meter_J-193_330    
IR_J-193_350    	ND_J-193_350    	Meter_J-193_350    
IR_J-162_10     	ND_J-162_10     	Meter_J-162_10     
IR_J-162_30     	ND_J-162_30     	Meter_J-162_30     
IR_J-162_50     	ND_J-162_50     	Meter_J-162_50     
